z,residual
1.219999999999999947e-03,3.297476726095652233e-01
1.219999999999999947e-03,3.672203457918620240e-01
2.560000000000000209e-03,7.835519988211382403e-01
2.560000000000000209e-03,7.942116871426392333e-01
2.929999999999999879e-03,2.129237917545320435e+00
2.929999999999999879e-03,2.179722932870178376e+00
2.990000000000000036e-03,3.717185602612358419e-01
3.500000000000000073e-03,5.918085722395516682e-03
3.569999999999999823e-03,1.128618887310839813e+00
3.660000000000000059e-03,1.970110307059924626e-01
3.690000000000000138e-03,1.605210323483248880e+00
3.690000000000000138e-03,1.082750709443334403e+00
4.349999999999999700e-03,2.704204753896435887e-01
4.349999999999999700e-03,2.366682165548204542e-01
4.579999999999999870e-03,5.335708763558199008e-01
4.599999999999999922e-03,-2.481642911789270489e-01
4.599999999999999922e-03,-5.664254043470575706e-01
4.599999999999999922e-03,4.715129558059852344e-01
4.599999999999999922e-03,-3.965768115248030634e-01
4.599999999999999922e-03,-8.216534191998209335e-02
4.599999999999999922e-03,6.567672322960017572e-01
4.619999999999999975e-03,5.466875668916014730e-01
4.649999999999999620e-03,1.178951775431113402e+00
4.649999999999999620e-03,1.482426925880011348e+00
4.780000000000000394e-03,-1.697496097052542563e+00
4.780000000000000394e-03,-1.580474779851298361e+00
4.780000000000000394e-03,-1.847318364725251127e+00
4.780000000000000394e-03,-1.657901137478259290e+00
4.890000000000000249e-03,8.352185221092379708e-01
4.890000000000000249e-03,7.836822037040200861e-01
5.049999999999999802e-03,3.066262630565772529e-01
5.150000000000000064e-03,-4.128768077957598592e-01
5.150000000000000064e-03,-2.294137242886373496e-01
5.400000000000000286e-03,1.314551426735925954e+00
5.479999999999999628e-03,1.310310482467321513e+00
5.499999999999999681e-03,2.151098822590527870e+00
5.499999999999999681e-03,2.041853754152144429e+00
5.510000000000000141e-03,-1.660581396575850022e+00
5.510000000000000141e-03,-1.313458596860370253e+00
5.519999999999999733e-03,5.463654052579901554e-01
5.519999999999999733e-03,5.595284303444153506e-01
5.519999999999999733e-03,4.397477494924666441e-01
5.669999999999999693e-03,1.760852890440486318e+00
5.919999999999999915e-03,1.177042861793543782e+00
5.939999999999999968e-03,-1.715861476250299056e+00
5.960000000000000020e-03,-3.050856425786228204e-02
5.960000000000000020e-03,3.366088951527602124e-01
5.960000000000000020e-03,-1.162177949793766207e-01
6.029999999999999770e-03,1.010408513832186772e+00
6.109999999999999980e-03,9.903091071807269552e-01
6.349999999999999742e-03,-6.898214093294460780e-02
6.349999999999999742e-03,-2.403013308835982020e-01
6.349999999999999742e-03,3.319791086959907045e-02
6.349999999999999742e-03,-1.635875918997446166e-01
6.599999999999999964e-03,-1.312923490364688472e+00
6.599999999999999964e-03,-1.410852995244300079e+00
6.640000000000000069e-03,2.101684996881469925e+00
6.640000000000000069e-03,1.885162420446287790e+00
6.640000000000000069e-03,1.989899798189296076e+00
6.680000000000000174e-03,8.077047152701150035e-01
6.680000000000000174e-03,8.807469147266221432e-01
7.009999999999999738e-03,-1.150284852499841914e+00
7.029999999999999791e-03,2.485413701373162185e-02
7.029999999999999791e-03,6.170287138944444832e-02
7.029999999999999791e-03,3.375791186794998427e-02
7.219999999999999855e-03,-1.022594025797639028e-01
7.219999999999999855e-03,-1.755416885295716378e-01
7.270000000000000420e-03,-5.561831708285076559e-01
7.270000000000000420e-03,-5.701503675641084179e-01
7.270000000000000420e-03,-5.164450500423320989e-01
7.579999999999999932e-03,1.594784612561922277e+00
7.689999999999999787e-03,3.712364577830389867e-01
7.689999999999999787e-03,6.600443386627894427e-01
7.689999999999999787e-03,3.400602813313326478e-01
7.729999999999999892e-03,8.753388530963304159e-01
7.749999999999999944e-03,-6.702288118875436226e-03
7.749999999999999944e-03,3.466518328332240939e-01
7.799999999999999642e-03,-1.580774110121601073e-01
7.879999999999999852e-03,4.046852382019340832e-01
7.960000000000000062e-03,3.069955190217016905e-01
8.009999999999999759e-03,-1.626790835760284493e+00
8.009999999999999759e-03,-6.052302378428914276e-01
8.009999999999999759e-03,5.254334800178744880e-01
8.009999999999999759e-03,2.596014933706520256e-01
8.120000000000000481e-03,-1.571011363132377214e+00
8.120000000000000481e-03,2.511555735358426689e-01
8.370000000000000703e-03,5.178181856847133835e-01
8.410000000000000808e-03,-9.702904834013459379e-01
8.410000000000000808e-03,-9.302060024774250202e-01
8.410000000000000808e-03,-1.088181058298269166e+00
8.529999999999999388e-03,1.772080700041399060e-01
8.529999999999999388e-03,3.947205053087849552e-02
8.609999999999999598e-03,3.080294029841705861e-01
